DATE,tv_S,radio_S,paid_search_S,competitor_sales,revenue
2016-01-03,2303643.05942123,0.0,0.0,9334683,134290640
2016-01-04,0.0,23549.4731627683,170794.8,8398759,120859120
2016-01-05,4628296.16766819,0.0,177404.7,8704510,125457680
2016-01-06,0.0,1828.48190079438,192879.5,9465251,136061680
2016-01-07,3007947.21486552,0.0,181808.0,8890387,127974000
2016-01-08,0.0,0.0,163219.1,7985688,115144880
2016-01-09,1209581.18203152,0.0,171053.3,8385054,120614720
2016-01-10,0.0,3734.58860410997,137325.1,6741988,96900560
2016-01-11,2119908.80295033,0.0,172389.8,8472161,121770080
2016-01-12,0.0,0.0,162817.6,7961934,114765680
2016-01-13,2134982.87244838,0.0,185555.7,9086890,130722880
2016-01-14,0.0,0.0,135715.8,6629041,95320720
2016-01-15,3011910.31554427,0.0,0.0,6788995,97521360
2016-01-16,0.0,0.0,0.0,7118652,102351760
2016-01-17,0.0,0.0,136220.7,6683875,96225600
2016-01-18,0.0,0.0,122167.1,5963275,85761200
2016-01-19,0.0,0.0,130693.2,6362428,91586240
2016-01-20,0.0,0.0,118917.7,5820177,83695120
2016-01-21,1541054.10786933,0.0,95796.8,4677785,67286400
2016-01-22,0.0,0.0,79819.3,3863159,55652000
2016-01-23,773559.154166525,0.0,86303.8,4215810,60633600
2016-01-24,0.0,0.0,87302.6,4270912,61454480
2016-01-25,1707290.90517797,0.0,97112.4,4724789,68075840
2016-01-26,0.0,0.0,81361.5,3948857,56770240
2016-01-27,2726287.89514117,0.0,88191.4,4302848,61918480
2016-01-28,0.0,0.0,0.0,4188882,60463680
2016-01-29,0.0,22975.3220248842,0.0,3180822,45749440
2016-01-30,0.0,0.0,73822.1,3569125,51459760
2016-01-31,0.0,7839.11274239427,93563.8,4532957,65285760
2016-02-01,0.0,0.0,105468.0,5119651,73595520
2016-02-02,4125278.86848833,66874.8888309888,95994.8,4694383,67469680
2016-02-03,0.0,0.0,96474.4,4727001,67994880
2016-02-04,1429241.94488813,46022.998940072,105657.2,5139152,73946480
2016-02-05,1665183.29582225,0.0,98830.6,4811630,69190240
2016-02-06,0.0,0.0,116152.3,5679657,81680000
2016-02-07,0.0,0.0,107246.7,5227100,75161760
2016-02-08,3116543.42650194,49452.5402145831,105200.7,5099573,73480320
2016-02-09,0.0,0.0,141632.7,6960616,100169840
2016-02-10,5833354.95667861,0.0,0.0,5842921,84125040
2016-02-11,0.0,0.0,0.0,6348953,91334640
2016-02-12,0.0,0.0,134088.9,6555278,94350400
2016-02-13,3046344.05612001,44961.4689271995,163320.3,8030259,115491360
2016-02-14,1175051.62534971,0.0,126937.8,6208150,89185040
2016-02-15,0.0,23145.1298448649,139604.3,6815282,98035680
2016-02-16,683378.405606194,0.0,166808.4,8139767,116945840
2016-02-17,1950726.38150783,95834.7052671673,163673.4,8029074,115415200
2016-02-18,0.0,0.0,201577.2,9875172,142030640
2016-02-19,3461925.51974248,40838.6478996617,206032.2,10108250,145440320
2016-02-20,0.0,0.0,194267.7,9539291,137285280
2016-02-21,1766413.18670501,0.0,193001.6,9453948,136207200
2016-02-22,0.0,0.0,222168.1,10930436,157205840
2016-02-23,1071497.65935808,72942.6416405115,0.0,10303495,148506720
2016-02-24,0.0,0.0,0.0,8056720,115791920
2016-02-25,1726261.93927027,22798.8385909799,363784.3,8943018,128535520
2016-02-26,0.0,0.0,341122.1,8368219,120328480
2016-02-27,6096575.03411231,18969.156392144,330215.6,8102721,116480400
2016-02-28,3152590.09871227,0.0,388613.5,9567149,137609840
2016-02-29,0.0,124914.370673048,420675.2,10313769,148370160
2016-03-01,0.0,0.0,342493.8,8412548,121031760
